dataset,pooling,learning_rate,feature_dim,seed,trained_epochs,train_loss,train_accuracy,train_f1_score,train_auc,train_precision,train_recall,test_loss,test_accuracy,test_f1_score,test_auc,test_precision,test_recall
panda-patches_512_preset-features_UNI,mean,0.0001,128,1,50,,0.9099673897632213,0.9353162880717123,0.9766049284438075,0.9814023086789226,0.8933644677952909,,0.8768115942028986,0.9090160559901194,0.958554720768714,0.9752650176678446,0.851195065535852
panda-patches_512_preset-features_UNI,mean,0.0001,128,2,50,,0.9030199914929817,0.9297885444467255,0.9742004053254733,0.9839235281338258,0.881299863786729,,0.8756967670011149,0.9071993341656263,0.958312713598476,0.9855334538878843,0.8404009252120278
panda-patches_512_preset-features_UNI,mean,0.0001,128,3,50,,0.9232950517510279,0.9455131433175546,0.9772296713537126,0.9799582463465554,0.9134072776804826,,0.8868450390189521,0.916563912864776,0.9627665763276654,0.9815140845070423,0.8596761757902853
panda-patches_512_preset-features_UNI,mean,0.0001,128,4,50,,0.9276903445342407,0.9488260084286574,0.9805330312607322,0.9794903666873834,0.9200233508464681,,0.8756967670011149,0.9068115336397827,0.961323841274323,0.989963503649635,0.8365458750963762
panda-patches_512_preset-features_UNI,max,0.001,64,0,50,,0.9465475684106054,0.9622206633931255,0.980377379284318,0.9919421487603306,0.9342284491146138,,0.9336677814938684,0.9525329078579976,0.9714229866477198,0.9867768595041322,0.920585967617579
panda-patches_512_preset-features_UNI,max,0.001,64,1,50,,0.9611512831419254,0.9728066693132196,0.984184905194628,0.992708122341503,0.9536874878381008,,0.939799331103679,0.9569377990430622,0.9722669090875244,0.990916597853014,0.9252120277563608
panda-patches_512_preset-features_UNI,max,0.001,64,2,50,,0.938891251949525,0.9568006414753935,0.9828176891405349,0.9865646961554362,0.9287799182720373,,0.9286510590858417,0.9488817891373802,0.9689951583052672,0.9842584921292461,0.9159599074787972
panda-patches_512_preset-features_UNI,max,0.001,64,3,50,,0.9468311356869418,0.9624812406203102,0.9826868438801527,0.9905271828665568,0.9359797625997276,,0.9219620958751393,0.943502824858757,0.9699259551138752,0.9898391193903472,0.9013107170393215
panda-patches_512_preset-features_UNI,max,0.001,64,4,50,,0.9517935630228271,0.9663366336633663,0.9864639713966363,0.9836726466438218,0.9496010897061685,,0.9370122630992196,0.9549621363092866,0.975554173149925,0.9884488448844885,0.9236700077101002
panda-patches_512_preset-features_UNI,max,0.001,128,0,50,,0.9442790301999149,0.9606488434965456,0.9822924272619301,0.989480198019802,0.9334500875656743,,0.939799331103679,0.9573796369376479,0.9719209629403252,0.9805982215036378,0.9352351580570547
panda-patches_512_preset-features_UNI,max,0.001,128,1,50,,0.9593080958457394,0.9715418939018344,0.9895754859218836,0.990497371613425,0.9532983070636311,,0.9403567447045708,0.9578574241827491,0.975715511263417,0.9790660225442834,0.9375481881264457
panda-patches_512_preset-features_UNI,max,0.001,128,2,50,,0.9526442648518361,0.9666866148015161,0.9884256336336776,0.991610394925312,0.942985016540183,,0.9308807134894092,0.950479233226837,0.9754137779646266,0.9859154929577465,0.9175019275250579
panda-patches_512_preset-features_UNI,max,0.001,128,3,50,,0.9486743229831277,0.9638794651766115,0.9816037358914345,0.9891460167929551,0.939871570344425,,0.9347826086956522,0.953479125248509,0.9713981653994902,0.9844006568144499,0.9244410177332305
panda-patches_512_preset-features_UNI,max,0.001,128,4,50,,0.9520771302991635,0.9662337662337662,0.9899558725121863,0.9928146171217409,0.9410391126678342,,0.9241917502787068,0.9452936444086887,0.9761723773636422,0.9882253994953742,0.9059367771781033
panda-patches_512_preset-features_UNI,max,0.0001,64,0,50,,0.9679568977739968,0.97760602457392,0.9931524313733384,0.9959620432061377,0.9599143802296166,,0.9498327759197325,0.9644549763033176,0.9790539691502913,0.988663967611336,0.9414032382420972
panda-patches_512_preset-features_UNI,max,0.0001,64,1,50,,0.9865305543740253,0.9906981298345247,0.9978860407932211,0.9970437524635396,0.9844327690212104,,0.9503901895206243,0.9648082245947015,0.9835155885195521,0.9902597402597403,0.9406322282189669
panda-patches_512_preset-features_UNI,max,0.0001,64,2,50,,0.9828441797816532,0.9881034313243535,0.9960604088268802,0.9986089030206677,0.9778166958552248,,0.9526198439241917,0.9665749115218246,0.9826902820159197,0.9863563402889246,0.9475713184271396
panda-patches_512_preset-features_UNI,max,0.0001,64,3,50,,0.9883737416702113,0.9919749461734194,0.9991920533921863,0.9978342193345147,0.9861840825063242,,0.9509476031215162,0.9653270291568163,0.9831773990124246,0.9871071716357775,0.9444872783346183
panda-patches_512_preset-features_UNI,max,0.0001,64,4,50,,0.9892244434992202,0.9925868123293016,0.9992493426728586,0.9951105026403285,0.9900758902510216,,0.9431438127090301,0.9596518987341772,0.9814880028048011,0.9853777416734363,0.9352351580570547
panda-patches_512_preset-features_UNI,max,0.0001,128,0,50,,0.9784488869984403,0.9850364244930104,0.9942677169260901,0.9968121139669257,0.9735357073360577,,0.9492753623188406,0.9640173981810992,0.9794573144340214,0.989448051948052,0.9398612181958366
panda-patches_512_preset-features_UNI,max,0.0001,128,1,50,,0.9764639160640862,0.9836614173228346,0.9943092986755043,0.995220075682135,0.9723681650126483,,0.9437012263099219,0.9599047240968638,0.9778330740030001,0.9893617021276596,0.9321511179645335
panda-patches_512_preset-features_UNI,max,0.0001,128,2,50,,0.9785906706366085,0.9851421824264489,0.9942551102343359,0.9964171974522293,0.9741194784977623,,0.9503901895206243,0.9647524752475247,0.9818432569200863,0.99185667752443,0.9390902081727063
panda-patches_512_preset-features_UNI,max,0.0001,128,3,50,,0.9937615199206011,0.9957014458772958,0.9996714126794445,0.9998038061604866,0.9916326133489005,,0.9515050167224081,0.9656533754441374,0.9841593896455061,0.9894822006472492,0.9429452582883577
panda-patches_512_preset-features_UNI,max,0.0001,128,4,50,,0.9822770452289806,0.9877198153060222,0.9956520130141724,0.9974206349206349,0.9782058766296945,,0.947603121516165,0.963021243115657,0.9749600145204304,0.983132530120482,0.943716268311488
