dataset,pooling,learning_rate,feature_dim,seed,trained_epochs,train_loss,train_accuracy,train_f1_score,train_auc,train_precision,train_recall,test_loss,test_accuracy,test_f1_score,test_auc,test_precision,test_recall
rsna-features_resnet18,mean,0.0001,64,2,50,,0.84875,0.8112324492979719,0.9232248530256391,0.8333333333333334,0.790273556231003,,0.84,0.8153846153846154,0.9111467236467237,0.9137931034482759,0.7361111111111112
rsna-features_resnet18,mean,0.0001,64,3,50,,0.84625,0.8188512518409425,0.9197658735536497,0.7942857142857143,0.8449848024316109,,0.8533333333333334,0.8333333333333334,0.9129273504273505,0.9166666666666666,0.7638888888888888
rsna-features_resnet18,mean,0.0001,64,4,50,,0.85,0.8170731707317073,0.920404752224782,0.8195718654434251,0.8145896656534954,,0.8466666666666667,0.8391608391608392,0.9086538461538461,0.8450704225352113,0.8333333333333334
rsna-features_resnet18,mean,0.0001,128,0,50,,0.84875,0.8233576642335766,0.926890338734762,0.7921348314606742,0.8571428571428571,,0.84,0.8285714285714286,0.9148860398860399,0.8529411764705882,0.8055555555555556
rsna-features_resnet18,mean,0.0001,128,1,50,,0.8625,0.8338368580060423,0.9291167341038598,0.8288288288288288,0.8389057750759878,,0.8466666666666667,0.8368794326241135,0.916488603988604,0.855072463768116,0.8194444444444444
rsna-features_resnet18,mean,0.0001,128,2,50,,0.85,0.8224852071005917,0.9286262817906672,0.8011527377521613,0.8449848024316109,,0.8333333333333334,0.8226950354609929,0.9129273504273505,0.8405797101449275,0.8055555555555556
rsna-features_resnet18,mean,0.0001,128,3,50,,0.8525,0.8328611898016998,0.9300266522112299,0.7798408488063661,0.8936170212765957,,0.84,0.8421052631578947,0.9129273504273504,0.8,0.8888888888888888
rsna-features_resnet18,mean,0.0001,128,4,50,,0.86125,0.8262910798122066,0.9278776966810576,0.8516129032258064,0.8024316109422492,,0.8466666666666667,0.8391608391608392,0.9166666666666667,0.8450704225352113,0.8333333333333334
rsna-features_resnet18,max,0.001,64,0,50,,0.8525,0.8249258160237388,0.9158680683277514,0.8057971014492754,0.8449848024316109,,0.8,0.7761194029850746,0.8566595441595442,0.8387096774193549,0.7222222222222222
rsna-features_resnet18,max,0.001,64,1,50,,0.965,0.9582089552238806,0.9844152324163167,0.9413489736070382,0.9756838905775076,,0.8333333333333334,0.8299319727891157,0.8874643874643875,0.8133333333333334,0.8472222222222222
rsna-features_resnet18,max,0.001,64,2,50,,0.91125,0.8963503649635036,0.9709858736827162,0.8623595505617978,0.9331306990881459,,0.82,0.8301886792452831,0.8840811965811967,0.7586206896551724,0.9166666666666666
rsna-features_resnet18,max,0.001,64,3,50,,0.8775,0.8524096385542169,0.9379835956607877,0.844776119402985,0.8601823708206687,,0.8466666666666667,0.8413793103448276,0.8903133903133903,0.8356164383561644,0.8472222222222222
rsna-features_resnet18,max,0.001,64,4,50,,0.82,0.788235294117647,0.8950883782161733,0.7635327635327636,0.8145896656534954,,0.8,0.7972972972972973,0.86235754985755,0.7763157894736842,0.8194444444444444
rsna-features_resnet18,max,0.001,128,0,50,,0.93,0.9127725856697819,0.9675075342509954,0.9361022364217252,0.8905775075987842,,0.8533333333333334,0.8552631578947368,0.8883547008547008,0.8125,0.9027777777777778
rsna-features_resnet18,max,0.001,128,1,50,,0.92,0.8990536277602523,0.9740060274007963,0.9344262295081968,0.8662613981762918,,0.86,0.8551724137931035,0.9172008547008548,0.8493150684931506,0.8611111111111112
rsna-features_resnet18,max,0.001,128,2,50,,0.86125,0.8335832083958021,0.9285359353119211,0.8224852071005917,0.8449848024316109,,0.84,0.8378378378378378,0.8863960113960114,0.8157894736842105,0.8611111111111112
rsna-features_resnet18,max,0.001,128,3,50,,0.89,0.8735632183908046,0.9598732567969592,0.8283378746594006,0.9240121580547113,,0.86,0.8489208633093526,0.8912037037037037,0.8805970149253731,0.8194444444444444
